county_fips,rank,station_id,station_name,distance_km,weight
01001,1,USC00011694,CLANTON,31.775346357700812,0.2883262356126529
01001,2,USW00013895,MONTGOMERY AP,34.22915849871273,0.2484690521763045
01001,3,USC00017366,SELMA,37.053454671831,0.2120348937872207
01001,4,USC00018209,THORSBY EXP STN,43.2440750435862,0.1556723650580782
01001,5,USC00015121,MARION JUNCTION 2 NE,55.21238133779892,0.09549745336574363
01003,1,USC00016988,ROBERTSDALE,11.273315245481806,0.5604799550978672
01003,2,USC00012813,FAIRHOPE 2 NE,17.967046659082246,0.22065308172993836
01003,3,USC00010583,BAY MINETTE,25.26311813906197,0.1116064984210079
01003,4,USW00013838,MOBILE DWTN AP,30.732965034432937,0.07541443208948931
01003,5,USW00013894,MOBILE,47.29377993710015,0.03184603266169715
01005,1,USC00011725,CLAYTON,4.240035505577142,0.9681220393099502
01005,2,USC00012730,EUFAULA WILDLIFE REF,33.60560506109931,0.015411526425214182
01005,3,USC00018323,TROY,54.02261544503111,0.005963728737032453
01005,4,USC00013761,HEADLAND,54.28396539139104,0.005906442273568718
01005,5,USW00013839,DOTHAN RGNL AP,61.53640192925203,0.00459626325423433
01009,1,USC00016121,ONEONTA,14.554033830377653,0.6205004865636911
01009,2,USC00017157,SAINT BERNARD,31.396605059126042,0.13333479777827037
01009,3,USC00012096,CULLMAN 1.5SE/KRESS FARMS,33.3601290732647,0.11810096384253002
01009,4,USC00013573,GUNTERSVILLE,45.2848255084773,0.06409195059594022
01009,5,USC00013575,GUNTERSVILLE NO.2,45.32733166817464,0.06397180121956833
01011,1,USC00011725,CLAYTON,35.98449931737413,0.36898698480347597
01011,2,USC00018323,TROY,40.609298357750475,0.289728357683367
01011,3,USC00012730,EUFAULA WILDLIFE REF,59.9667356555242,0.1328682331367106
01011,4,USC00016129,OPELIKA,66.88322577470102,0.1068089275721344
01011,5,USW00013895,MONTGOMERY AP,68.57378351769957,0.10160749680431201
01013,1,USC00013519,GREENVILLE,8.140892764369967,0.9509840667342027
01013,2,USW00013895,MONTGOMERY AP,66.20417986086323,0.014379589523460325
01013,3,USC00018323,TROY,67.37716483945843,0.013883272369554387
01013,4,USC00011080,BREWTON 3 ENE,76.25223419750176,0.010839572701893858
01013,5,USC00017366,SELMA,79.73429856164361,0.00991349867088875
01015,1,USW00013871,ANNISTON METRO AP,20.090230874073136,0.4235193942728369
01015,2,USC00013775,HEFLIN,24.670734136545896,0.2808529641178926
01015,3,USC00013154,GADSDEN,31.609053162793728,0.17108825006807948
01015,4,USC00018024,TALLADEGA,48.47005749487894,0.07276056927679399
01015,5,USC00016121,ONEONTA,57.45733718089219,0.051778822264397076
01017,1,USC00014502,LAFAYETTE 2W,3.8155516227885036,0.9576397428120687
01017,2,USC00017025,ROCK MILLS,28.66140362665545,0.016971566044508203
01017,3,USC00016129,OPELIKA,28.970900460890398,0.016610887652923397
01017,4,USC00010160,ALEXANDER CITY,52.458609900158805,0.005066210990810053
01017,5,USW00093842,COLUMBUS METRO AP,61.288398084607266,0.0037115924996898933
01019,1,USC00013154,GADSDEN,31.1851319371985,0.316592578222142
01019,2,USC00017207,SAND MT SUBSTN,37.71902067566609,0.21640888356088261
01019,3,USC00091732,CEDARTOWN,38.73777669823622,0.20517598095688103
01019,4,USC00013775,HEFLIN,47.57348747446456,0.1360397804259926
01019,5,USC00097600,ROME,49.47517756117042,0.12578277683410174
01021,1,USC00018209,THORSBY EXP STN,9.050573236631706,0.6014395588805527
01021,2,USC00011694,CLANTON,12.184287356112332,0.331851586337956
01021,3,USW00053864,ALABASTER SHELBY CO AP ASOS,36.41892877486077,0.03714409908798208
01021,4,USC00017366,SELMA,56.14463708870374,0.01562887097835751
01021,5,USC00011620,CHILDERSBURG WTP,59.457248764727225,0.01393588471515156
01023,1,USC00229439,WAYNESBORO 2 W,52.96951134760096,0.2680631209228365
01023,2,USC00014193,JACKSON,60.02155267084796,0.2087731052999547
01023,3,USW00013865,MERIDIAN KEY FLD,60.77073271902437,0.20365733534849162
01023,4,USC00012245,DEMOPOLIS L&D,68.26414305245473,0.16140006940652887
01023,5,USW00003866,MERIDIAN NAAS,68.97152344069808,0.1581063690221883
01025,1,USC00014193,JACKSON,20.598554940515236,0.7914906468910823
01025,2,USC00010402,ATMORE,66.58773373079693,0.07574096377754108
01025,3,USC00229439,WAYNESBORO 2 W,80.64215668955487,0.05164104565392951
01025,4,USC00010583,BAY MINETTE,89.19241872295386,0.042214671385521395
01025,5,USC00012245,DEMOPOLIS L&D,92.8996589122231,0.03891267229192574
01029,1,USC00013775,HEFLIN,9.202529607864458,0.8397022856448134
01029,2,USW00013871,ANNISTON METRO AP,32.01241560260067,0.06939095892515297
01029,3,USC00091640,CARROLLTON,41.16883671049062,0.04195682255914446
01029,4,USC00091732,CEDARTOWN,50.30104759712667,0.028105138002806566
01029,5,USC00013154,GADSDEN,58.40783092276328,0.020844794868082477
01031,1,USC00012675,ENTERPRISE 4 W,15.05682662987865,0.6354566617228453
01031,2,USW00003850,CAIRNS FLD FT RUCKER,29.983613288033002,0.1602451524460526
01031,3,USC00013251,GENEVA #2,42.01746311218581,0.08160056796342946
01031,4,USC00018323,TROY,45.090980714219846,0.07085548484963997
01031,5,USW00013839,DOTHAN RGNL AP,52.71509423739424,0.05184213301803259
01033,1,USW00013896,MUSCLE SHOALS AP,18.988620305389432,0.48573879003654147
01033,2,USC00017131,RUSSELLVILLE #2,22.396834122224615,0.34915345236112794
01033,3,USC00015635,MOULTON 2,51.832385702768995,0.06519093504322108
01033,4,USC00013620,HALEYVILLE,54.61897622391875,0.05870870443957752
01033,5,USC00013645,HAMILTON,65.19336723773341,0.041208118119531935
